source,title,url,published,summary
NVIDIA Technical Blog,Accelerate AI Inference for Edge and Robotics with NVIDIA Jetson T4000 and NVIDIA JetPack 7.1,https://developer.nvidia.com/blog/accelerate-ai-inference-for-edge-and-robotics-with-nvidia-jetson-t4000-and-nvidia-jetpack-7-1,2026-01-05 22:10:52+0000,"NVIDIA is introducing the NVIDIA Jetson T4000, bringing high-performance AI and real-time reasoning to a wider range of robotics and edge AI applications...."
鹿島建設 プレス,米国森林ファンドへの出資を通じて、脱炭素および自然再興の実現を加速,202512/24e1-j.htm,2025-12-24 22:38:45,
Sony AI News,Learn More,https://ai.sony/blog/Sony-AI-2025-Year-in-Review,2025-12-22 22:39:51,
NVIDIA Technical Blog,Accelerating AI-Powered Chemistry and Materials Science Simulations with NVIDIA ALCHEMI Toolkit-Ops,https://developer.nvidia.com/blog/accelerating-ai-powered-chemistry-and-materials-science-simulations-with-nvidia-alchemi-toolkit-ops,2025-12-19 17:00:00+0000,Machine learning interatomic potentials (MLIPs) are transforming the landscape of computational chemistry and materials science. MLIPs enable atomistic...
鹿島建設 プレス,ユニバーサル・スタジオ・ジャパン オフィシャルホテル唯一の外資系ホテル 「Osaka Sakurajima Resort」プロジェクトが本格着工,202512/18a1-j.htm,2025-12-18 22:39:19,
Anthropic News,"Dec 18, 2025 Announcements Protecting the well-being of our users",https://www.anthropic.com/news/protecting-well-being-of-users,2025-12-18 22:39:11,
Anthropic News,"Dec 18, 2025 Announcements Working with the US Department of Energy to unlock the next era of scientific discovery",https://www.anthropic.com/news/genesis-mission-partnership,2025-12-18 22:39:11,
NVIDIA Technical Blog,"Real-Time Decoding, Algorithmic GPU Decoders, and AI Inference Enhancements in NVIDIA CUDA-Q QEC",https://developer.nvidia.com/blog/real-time-decoding-algorithmic-gpu-decoders-and-ai-inference-enhancements-in-nvidia-cuda-q-qec,2025-12-17 21:32:50+0000,Real-time decoding is crucial to fault-tolerant quantum computers. By enabling decoders to operate with low latency concurrently with a quantum processing unit...
NVIDIA Technical Blog,Using AI Physics for Technology Computer-Aided Design Simulations,https://developer.nvidia.com/blog/using-ai-physics-for-technology-computer-aided-design-simulations,2025-12-17 16:00:00+0000,"Technology Computer-Aided Design (TCAD) simulations, encompassing both process and device simulations, are crucial for modern semiconductor manufacturing. They..."
NVIDIA Technical Blog,Optimizing Semiconductor Defect Classification with Generative AI and Vision Foundation Models,https://developer.nvidia.com/blog/optimizing-semiconductor-defect-classification-with-generative-ai-and-vision-foundation-models,2025-12-17 02:00:00+0000,"In the heart of every modern electronic device lies a silicon chip, built through a manufacturing process so precise that even a microscopic defect can..."
NVIDIA Technical Blog,Accelerating Long-Context Inference with Skip Softmax in NVIDIA TensorRT-LLM,https://developer.nvidia.com/blog/accelerating-long-context-inference-with-skip-softmax-in-nvidia-tensorrt-llm,2025-12-16 21:00:00+0000,"For machine learning engineers deploying LLMs at scale, the equation is familiar and unforgiving: as context length increases, attention computation costs..."
NVIDIA Technical Blog,"AI Factories, Physical AI, and Advances in Models, Agents, and Infrastructure That Shaped 2025",https://developer.nvidia.com/blog/ai-factories-physical-ai-and-advances-in-models-agents-and-infrastructure-that-shaped-2025,2025-12-16 17:30:00+0000,"2025 was another milestone year for developers and researchers working with NVIDIA technologies. Progress in data center power and compute design, AI..."
Sony AI News,"December 15, 2025 | Sony AI Protecting Creator窶冱 Rights in the Age of AI",https://ai.sony/blog/Protecting-Creator窶冱-Rights-in-the-Age-of-AI,2025-12-15 22:39:50,
Sony AI News,Learn More,https://ai.sony/blog/Protecting-Creator%E2%80%99s-Rights-in-the-Age-of-AI,2025-12-15 22:39:50,
NVIDIA Technical Blog,Delivering Flexible Performance for Future-Ready Data Centers with NVIDIA MGX,https://developer.nvidia.com/blog/delivering-flexible-performance-for-future-ready-data-centers-with-nvidia-mgx,2025-12-15 18:25:18+0000,The AI boom reshaping the computing landscape is poised to scale even faster in 2026. As breakthroughs in model capability and computing power drive rapid...
NVIDIA Technical Blog,"Inside NVIDIA Nemotron 3: Techniques, Tools, and Data That Make It Efficient and Accurate",https://developer.nvidia.com/blog/inside-nvidia-nemotron-3-techniques-tools-and-data-that-make-it-efficient-and-accurate,2025-12-15 14:00:00+0000,"Agentic AI systems increasingly rely on collections of cooperating agents—retrievers, planners, tool executors, verifiers—working together across large..."
NVIDIA Technical Blog,How to Train Scientific Agents with Reinforcement Learning,https://developer.nvidia.com/blog/how-to-train-scientific-agents-with-reinforcement-learning,2025-12-15 14:00:00+0000,"The scientific process can be repetitive and tedious, with researchers spending hours digging through papers, managing experiment workflows, or wrangling..."
NVIDIA Technical Blog,Enabling Horizontal Autoscaling of Enterprise RAG Components on Kubernetes,https://developer.nvidia.com/blog/enabling-horizontal-autoscaling-of-enterprise-rag-components-on-kubernetes,2025-12-12 21:00:00+0000,Today’s best AI agents rely on retrieval-augmented generation (RAG) to enable more accurate results. A RAG system facilitates the use of a knowledge base to...
NVIDIA Technical Blog,NVIDIA Blackwell Enables 3x Faster Training and Nearly 2x Training Performance Per Dollar than Previous-Gen Architecture,https://developer.nvidia.com/blog/nvidia-blackwell-enables-3x-faster-training-and-nearly-2x-training-performance-per-dollar-than-previous-gen-architecture,2025-12-11 19:20:31+0000,"AI innovation continues to be driven by three scaling laws: pre-training, post-training, and test-time scaling. Training is foundational to building smarter..."
NVIDIA Technical Blog,Next-Generation AI Factory Telemetry with NVIDIA Spectrum-X Ethernet,https://developer.nvidia.com/blog/next-generation-ai-factory-telemetry-with-nvidia-spectrum-x-ethernet,2025-12-11 19:03:51+0000,"As AI data centers rapidly evolve into AI factories, traditional network monitoring methods are no longer sufficient. Workloads continue to grow in complexity..."
NVIDIA Technical Blog,"Getting Started with Edge AI on NVIDIA Jetson: LLMs, VLMs, and Foundation Models for Robotics",https://developer.nvidia.com/blog/getting-started-with-edge-ai-on-nvidia-jetson-llms-vlms-and-foundation-models-for-robotics,2025-12-11 16:00:00+0000,"Running advanced AI and computer vision workloads on small, power-efficient devices at the edge is a growing challenge. Robots, smart cameras, and autonomous..."
NVIDIA Technical Blog,Enhancing Communication Observability of AI Workloads with NCCL Inspector,https://developer.nvidia.com/blog/enhancing-communication-observability-of-ai-workloads-with-nccl-inspector,2025-12-10 21:45:34+0000,When using the NVIDIA Collective Communication Library (NCCL) to run a deep learning training or inference workload that uses collective operations (such as...
Anthropic News,"Dec 9, 2025 Announcements Donating the Model Context Protocol and establishing the Agentic AI Foundation",https://www.anthropic.com/news/donating-the-model-context-protocol-and-establishing-of-the-agentic-ai-foundation,2025-12-09 22:36:31,
Anthropic News,"Dec 9, 2025 Announcements Accenture and Anthropic launch multi-year partnership to move enterprises from AI pilots to production",https://www.anthropic.com/news/anthropic-accenture-partnership,2025-12-09 22:36:31,
NVIDIA Technical Blog,"Top 5 AI Model Optimization Techniques for Faster, Smarter Inference",https://developer.nvidia.com/blog/top-5-ai-model-optimization-techniques-for-faster-smarter-inference,2025-12-09 18:00:00+0000,"As AI models get larger and architectures more complex, researchers and engineers are continuously finding new techniques to optimize the performance and..."
NVIDIA Technical Blog,Improve AI-Native 6G Design with the NVIDIA Aerial Omniverse Digital Twin,https://developer.nvidia.com/blog/improve-ai-native-6g-design-with-the-nvidia-aerial-omniverse-digital-twin,2025-12-09 17:00:00+0000,"AI-native 6G networks will serve billions of intelligent devices, agents, and machines. As the industry moves into new spectrums like FR3 (7–24 GHz), radio..."
NVIDIA Technical Blog,Automate Kubernetes AI Cluster Health with NVSentinel,https://developer.nvidia.com/blog/automate-kubernetes-ai-cluster-health-with-nvsentinel,2025-12-08 18:00:00+0000,"Kubernetes underpins a large portion of all AI workloads in production. Yet, maintaining GPU nodes and ensuring that applications are running, training jobs are..."
renue ニュース,2025.12.04 Findy アーキテクチャConference 2025 に参加しました エンジニアのための情報共有コミュニティ「Zenn」にて配信されました。,https://renue.co.jp/posts/article-10,2025-12-05 22:37:39,
NVIDIA Technical Blog,NVIDIA CUDA 13.1 Powers Next-Gen GPU Programming with NVIDIA CUDA Tile and Performance Gains,https://developer.nvidia.com/blog/nvidia-cuda-13-1-powers-next-gen-gpu-programming-with-nvidia-cuda-tile-and-performance-gains,2025-12-04 22:20:56+0000,"NVIDIA CUDA 13.1 introduces the largest and most comprehensive update to the CUDA platform since it was invented two decades ago.  In this release,..."
Anthropic News,"Dec 3, 2025 Announcements Snowflake and Anthropic announce $200 million partnership to bring agentic AI to global enterprises",https://www.anthropic.com/news/snowflake-anthropic-expanded-partnership,2025-12-03 22:38:46,
Anthropic News,"Dec 2, 2025 Announcements Claude for Nonprofits",https://www.anthropic.com/news/claude-for-nonprofits,2025-12-02 22:35:59,
NVIDIA Technical Blog,AWS Integrates AI Infrastructure with NVIDIA NVLink Fusion for Trainium4 Deployment,https://developer.nvidia.com/blog/aws-integrates-ai-infrastructure-with-nvidia-nvlink-fusion-for-trainium4-deployment,2025-12-02 16:00:00+0000,"As demand for AI continues to grow, hyperscalers are looking for ways to accelerate deployment of specialized AI infrastructure with the highest performance...."
NVIDIA Technical Blog,Train Small Orchestration Agents to Solve Big Problems,https://developer.nvidia.com/blog/train-small-orchestration-agents-to-solve-big-problems,2025-12-01 23:25:36+0000,"Using the right tool and model for a task is a challenging and ever-present engineering problem in agent design. At NVIDIA Research, we're making fast progress..."
鹿島建設 プレス,『Yard miyakojima』2026年4月1日 開業予定,202512/pdf/1a1-j.pdf,2025-12-01 22:37:56,
Sony AI News,Learn More,https://ai.sony/blog/NeurIPS%202025-Sony-AI窶冱-Latest-Contributions,2025-12-01 22:37:52,
Sony AI News,"December 1, 2025 | Events NeurIPS 2025: Sony AI窶冱 Latest Contributions",https://ai.sony/blog/NeurIPS 2025-Sony-AI窶冱-Latest-Contributions,2025-12-01 22:37:52,
Sony AI News,Learn More,https://ai.sony/blog/Advancing-AI-Highlights-from-November,2025-12-01 22:37:52,
NVIDIA Technical Blog,Build Efficient Financial Data Workflows with AI Model Distillation,https://developer.nvidia.com/blog/build-efficient-financial-data-workflows-with-ai-model-distillation,2025-12-01 22:00:17+0000,"Large language models (LLMs) in quantitative finance are increasingly being used for alpha generation, automated report analysis, and risk prediction. Yet..."
NVIDIA Technical Blog,Making GPU Clusters More Efficient with NVIDIA Data Center Monitoring,https://developer.nvidia.com/blog/making-gpu-clusters-more-efficient-with-nvidia-data-center-monitoring,2025-11-25 21:00:00+0000,"High-performance computing (HPC) customers continue to scale rapidly, with generative AI, large language models (LLMs), computer vision, and other uses leading..."
Anthropic News,"Introducing Claude Opus 4.5 Announcements Nov 24, 2025 The best model in the world for coding, agents, and computer use, with meaningful improvements to everyday tasks like slides and spreadsheets. Claude Opus 4.5 delivers frontier performance and dramatically improved token efficiency.",https://www.anthropic.com/news/claude-opus-4-5,2025-11-24 22:37:29,
NVIDIA Technical Blog,"Model Quantization: Concepts, Methods, and Why It Matters",https://developer.nvidia.com/blog/model-quantization-concepts-methods-and-why-it-matters,2025-11-24 19:23:48+0000,"AI models are becoming increasingly complex, often exceeding the capabilities of available hardware. Quantization has emerged as a crucial technique to address..."
Apple ML Research,Neural Information Processing Systems (NeurIPS) 2025,https://machinelearning.apple.com/updates/apple-at-neurips-2025,2025-11-21 00:00:00+0000,"Apple is presenting new research at the annual conference on Neural Information Processing Systems (NeurIPS) , which takes place in person in San Diego, California, from December 2 – 7. We are proud to again sponsor the multi-track interdisciplinary conference, which brings together the scientific and industrial research communities surrounding Machine Learning. Below is an overview of Apple’s participation at NeurIPS 2025."
Anthropic News,Availability,https://www.anthropic.com/supported-countries,2025-11-20 22:34:15,
Anthropic News,Economic Futures,https://www.anthropic.com/economic-index,2025-11-20 22:34:15,
NVIDIA Technical Blog,Breaking Through Reinforcement Learning Training Limits with Scaling Rollouts in BroRL,https://developer.nvidia.com/blog/breaking-through-rl-training-limits-with-scaling-rollouts-in-brorl,2025-11-19 21:51:12+0000,"When training large language models (LLMs) with reinforcement learning from verifiable rewards (RLVR), one of the most compelling questions is how to overcome..."
Anthropic News,"Announcements Microsoft, NVIDIA, and Anthropic announce strategic partnerships Nov 18, 2025",https://www.anthropic.com/news/microsoft-nvidia-anthropic-announce-strategic-partnerships,2025-11-18 22:37:57,
Anthropic News,"Product Claude now available in Microsoft Foundry and Microsoft 365 Copilot Nov 18, 2025",https://www.anthropic.com/news/claude-in-microsoft-foundry,2025-11-18 22:37:57,
NVIDIA Technical Blog,Building Scalable AI on Enterprise Data with NVIDIA Nemotron RAG and Microsoft SQL Server 2025,https://developer.nvidia.com/blog/building-scalable-ai-on-enterprise-data-with-nvidia-nemotron-rag-and-microsoft-sql-server-2025,2025-11-18 20:00:00+0000,"At Microsoft Ignite 2025, the vision for an AI-ready enterprise database becomes a reality with the announcement of Microsoft SQL Server 2025, giving developers..."
NVIDIA Technical Blog,Faster Chemistry and Materials Discovery with AI-Powered Simulations Using NVIDIA ALCHEMI,https://developer.nvidia.com/blog/faster-chemistry-and-materials-discovery-with-ai-powered-simulations-using-nvidia-alchemi,2025-11-18 17:00:00+0000,"Almost all manufactured products are enabled by chemistry and materials science. However, new discoveries are costly and time-consuming and often hindered by..."
鹿島建設 プレス,橋梁の損傷・健全度診断を支援するWebシステム「BMStar ® _AI」を開発・運用,202511/17c1-j.htm,2025-11-17 22:37:26,
Anthropic News,"Announcements Anthropic partners with Rwandan Government and ALX to bring AI education to hundreds of thousands of learners across Africa Nov 18, 2025",https://www.anthropic.com/news/rwandan-government-partnership-ai-education,2025-11-17 22:37:17,
Cohere Blog,Modern Slavery Act,https://cohere.com/modern-slavery-statement,2025-11-14 22:36:54,
安藤ハザマ ニュース,メタバース技術展示 当社の注目技術や技術研究所の最新施設を紹介する展示会場を、メタバース空間に開設しました!,https://www.ad-hzm.co.jp/lp/exhibition/2025,2025-11-13 22:37:23,
鹿島建設 プレス,「建設現場から排出される廃プラのケミカルリサイクル実証事業」に着手,202511/13e1-j.htm,2025-11-13 22:37:22,
Anthropic News,"Product Measuring political bias in Claude Nov 13, 2025",https://www.anthropic.com/news/political-even-handedness,2025-11-13 22:37:12,
Anthropic News,"Announcements The state of Maryland partners with Anthropic to better serve residents Nov 13, 2025",https://www.anthropic.com/news/maryland-partnership,2025-11-13 22:37:12,
鹿島建設 プレス,「日本橋本町 M-SQUARE」竣工 緑豊かな共用空間を整備し環境に配慮したオフィスが日本橋本町に誕生,202511/pdf/12a1-j.pdf,2025-11-12 22:35:02,
Anthropic News,"Announcements Anthropic invests $50 billion in American AI infrastructure Nov 12, 2025",https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure,2025-11-12 22:34:57,
NVIDIA Technical Blog,NVIDIA Blackwell Architecture Sweeps MLPerf Training v5.1 Benchmarks,https://developer.nvidia.com/blog/nvidia-blackwell-architecture-sweeps-mlperf-training-v5-1-benchmarks,2025-11-12 16:00:00+0000,"The NVIDIA Blackwell architecture powered the fastest time to train across every MLPerf Training v5.1 benchmark, marking a clean sweep in the latest round of..."
NVIDIA Technical Blog,Upcoming Livestream: Build Visual AI Agents with NVIDIA Cosmos Reason and Metropolis,https://www.addevent.com/event/kffjqsqb67nq,2025-11-10 22:22:56+0000,"On November 18, learn how to fine-tune the NVIDIA Cosmos Reason VLM with your own data to create visual AI agents."
NVIDIA Technical Blog,Building Scalable and Fault-Tolerant NCCL Applications,https://developer.nvidia.com/blog/building-scalable-and-fault-tolerant-nccl-applications,2025-11-10 21:29:37+0000,"The NVIDIA Collective Communications Library (NCCL) provides communication APIs for low-latency and high-bandwidth collectives, enabling AI workloads to scale..."
NVIDIA Technical Blog,Training XGBoost Models with GPU-Accelerated Polars DataFrames,https://developer.nvidia.com/blog/training-xgboost-models-with-gpu-accelerated-polars-dataframes,2025-11-10 19:30:00+0000,"One of the many strengths of the PyData ecosystem is interoperability, which enables seamlessly moving data between libraries that specialize in exploratory..."
NVIDIA Technical Blog,"Gen AI Super-resolution Accelerates Weather Prediction with Scalable, Low-Compute Models",https://developer.nvidia.com/blog/gen-ai-super-resolution-accelerates-weather-prediction-with-scalable-low-compute-models,2025-11-10 19:29:53+0000,"As AI weather and climate prediction models rapidly gain adoption, the NVIDIA Earth-2 platform provides libraries and tools for accelerating solutions using a..."
NVIDIA Technical Blog,Streamline Complex AI Inference on Kubernetes with NVIDIA Grove,https://developer.nvidia.com/blog/streamline-complex-ai-inference-on-kubernetes-with-nvidia-grove,2025-11-10 14:00:00+0000,"Over the past few years, AI inference has evolved from single-model, single-pod deployments into complex, multicomponent systems. A model deployment may now..."
NVIDIA Technical Blog,Enabling Multi-Node NVLink on Kubernetes for NVIDIA GB200 NVL72 and Beyond,https://developer.nvidia.com/blog/enabling-multi-node-nvlink-on-kubernetes-for-gb200-and-beyond,2025-11-10 14:00:00+0000,"The NVIDIA GB200 NVL72 pushes AI infrastructure to new limits, enabling breakthroughs in training large-language models and running scalable, low-latency..."
Sony AI News,Learn More,https://ai.sony/blog/The-FHIBE-Team-Data-Dignity-and-the-People-Who-Made-It-Possible,2025-11-07 22:35:52,
Anthropic News,"Announcements New offices in Paris and Munich expand Anthropic窶冱 European presence Nov 07, 2025",https://www.anthropic.com/news/new-offices-in-paris-and-munich-expand-european-presence,2025-11-07 22:35:50,
Anthropic News,"Announcements Cognizant will make Claude available to 350,000 employees, accelerating enterprise AI adoption and internal transformation Nov 04, 2025",https://www.anthropic.com/news/cognizant-partnership,2025-11-06 22:35:47,
NVIDIA Technical Blog,Accelerating Large-Scale Mixture-of-Experts Training in PyTorch,https://developer.nvidia.com/blog/accelerating-large-scale-mixture-of-experts-training-in-pytorch,2025-11-06 17:00:00+0000,Training massive mixture-of-experts (MoE) models has long been the domain of a few advanced users with deep infrastructure and distributed-systems expertise....
NVIDIA Technical Blog,Scale Biology Transformer Models with PyTorch and NVIDIA BioNeMo Recipes,https://developer.nvidia.com/blog/scale-biology-transformer-models-with-pytorch-and-nvidia-bionemo-recipes,2025-11-05 16:00:00+0000,"Training models with billions or trillions of parameters demands advanced parallel computing. Researchers must decide how to combine parallelism strategies,..."
鹿島建設 プレス,ハイグレードオフィス「名古屋伏見Kフロンティア」が竣工,202511/4a1-j.htm,2025-11-04 22:35:56,
NVIDIA Technical Blog,Make Sense of Video Analytics by Integrating NVIDIA AI Blueprints,https://developer.nvidia.com/blog/make-sense-of-video-analytics-by-integrating-nvidia-ai-blueprints,2025-11-03 21:48:11+0000,"Organizations are increasingly seeking ways to extract insights from video, audio, and other complex data sources. Retrieval-augmented generation (RAG) enables..."
NVIDIA Technical Blog,How Code Execution Drives Key Risks in Agentic AI Systems,https://developer.nvidia.com/blog/how-code-execution-drives-key-risks-in-agentic-ai-systems,2025-11-03 17:54:01+0000,"AI-driven applications are evolving from passive tools to agentic systems that generate code, make decisions, and take autonomous actions. This shift introduces..."
Sony AI News,Learn More,https://ai.sony/blog/Advancing-AI-Highlights-from-October,2025-10-31 22:35:15,
鹿島建設 プレス,ソフトウェアの標準化技術を活用した建設ロボットシステムの研究開発に着手,202510/pdf/30a1-j.pdf,2025-10-30 22:34:34,
鹿島建設 プレス,ポップカルチャーとテクノロジーの未来を体験できるイベント『ちょっと先のおもしろい未来 -CHANGE TOMORROW-』を開催,202510/pdf/29a1-j.pdf,2025-10-29 22:36:43,
Anthropic News,"Announcements Anthropic officially opens Tokyo office, signs Memorandum of Cooperation with the Japan AI Safety Institute Oct 29, 2025",https://www.anthropic.com/news/opening-our-tokyo-office,2025-10-29 22:36:34,
鹿島建設 プレス,「湯西川ダム新水力発電所設置・運営事業」の事業候補者に特定,202510/pdf/28c1-j.pdf,2025-10-28 22:35:34,
NVIDIA Technical Blog,Introducing the CodonFM Open Model for RNA Design and Analysis,https://developer.nvidia.com/blog/introducing-the-codonfm-open-model-for-rna-design-and-analysis,2025-10-28 20:00:00+0000,"Open research is critical for driving innovation, and many breakthroughs in AI and science are achieved through open collaboration. In the field of digital..."
NVIDIA Technical Blog,"Develop Specialized AI Agents with New NVIDIA Nemotron Vision, RAG, and Guardrail Models",https://developer.nvidia.com/blog/develop-specialized-ai-agents-with-new-nvidia-nemotron-vision-rag-and-guardrail-models,2025-10-28 17:32:45+0000,"Agentic AI is an ecosystem where specialized language and vision models work together. They handle planning, reasoning, retrieval, and safety guardrailing...."
鹿島建設 プレス,世界最高レベルの制震効率を発揮する電気不要の環境配慮型オイルダンパー「HiDAX ® -Re」を開発,202510/27a1-j.htm,2025-10-27 22:34:17,
Anthropic News,"Announcements Advancing Claude for Financial Services Oct 27, 2025",https://www.anthropic.com/news/advancing-claude-for-financial-services,2025-10-27 22:34:07,
Mistral AI News,AI Studio,https://mistral.ai/products/ai-studio,2025-10-24 22:35:03,
Mistral AI News,"Introducing Mistral AI Studio. Product October 24, 2025 Mistral AI The Production AI Platform.",https://mistral.ai/news/ai-studio,2025-10-24 22:35:03,
鹿島建設 プレス,東京証券取引所ビル本館で耐震バリューアップを実施,202510/pdf/23a1-j.pdf,2025-10-23 22:34:05,
Sony AI News,Learn More,https://ai.sony/blog/Sights%20on%20AI:%20Expanding-Human-Perception-Through-AI-A-Conversation-with-Daisuke-Iso,2025-10-23 22:34:01,
Sony AI News,"October 23, 2025 | Imaging & Sensing Sony AI Sights on AI: Expanding Human Perception Through AI – A Conversation with Daisuke Iso",https://ai.sony/blog/Sights on AI: Expanding-Human-Perception-Through-AI-A-Conversation-with-Daisuke-Iso,2025-10-23 22:34:01,
Anthropic News,"Announcements Expanding our use of Google Cloud TPUs and Services Oct 23, 2025",https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,2025-10-23 22:34:00,
Anthropic News,"Announcements A statement from Dario Amodei on Anthropic's commitment to American AI leadership Oct 21, 2025",https://www.anthropic.com/news/statement-dario-amodei-american-ai-leadership,2025-10-21 22:31:47,
NVIDIA Technical Blog,Build Practical Deep-Learning Skills for Real-World AI Applications with the New NVIDIA Learning Path,https://www.nvidia.com/en-us/learn/learning-path/deep-learning,2025-10-21 20:05:06+0000,"Check out the learning path page and sign up for courses, workshops, and certifications to help develop your skills."
Anthropic News,"Announcements Claude for Life Sciences Oct 20, 2025",https://www.anthropic.com/news/claude-for-life-sciences,2025-10-20 22:34:07,
Anthropic News,"Product Claude Code on the web Oct 20, 2025",https://www.anthropic.com/news/claude-code-on-the-web,2025-10-20 22:34:07,
NVIDIA Technical Blog,Build an AI Agent to Analyze IT Tickets with NVIDIA Nemotron,https://developer.nvidia.com/blog/build-an-ai-agent-to-analyze-it-tickets-with-nvidia-nemotron,2025-10-20 17:00:00+0000,"Modern organizations generate a massive volume of operational data through ticketing systems, incident reports, service requests, support escalations, and more...."
NVIDIA Technical Blog,Enabling Scalable AI-Driven Molecular Dynamics Simulations,https://developer.nvidia.com/blog/enabling-scalable-ai-driven-molecular-dynamics-simulations,2025-10-20 16:30:00+0000,"Molecular dynamics (MD) simulations are a powerful tool in computational chemistry and materials science, and they’re essential for studying chemical..."
NVIDIA Technical Blog,Scaling Large MoE Models with Wide Expert Parallelism on NVL72 Rack Scale Systems,https://developer.nvidia.com/blog/scaling-large-moe-models-with-wide-expert-parallelism-on-nvl72-rack-scale-systems,2025-10-20 16:00:00+0000,"Modern AI workloads have moved well beyond single-GPU inference serving. Model parallelism, which efficiently splits computation across many GPUs, is now the..."
鹿島建設 プレス,現場見学会「鹿島サマースクール」に82名が参加,202510/17m1-j.htm,2025-10-17 22:33:45,
Anthropic News,"Product Introducing Claude Skills Oct 16, 2025",https://www.anthropic.com/news/skills,2025-10-16 22:31:58,
Anthropic News,"Product Claude and your productivity platforms Oct 16, 2025",https://www.anthropic.com/news/productivity-platforms,2025-10-16 22:31:58,
Anthropic News,"Product Introducing Claude Haiku 4.5 Oct 15, 2025",https://www.anthropic.com/news/claude-haiku-4-5,2025-10-15 22:33:06,
NVIDIA Technical Blog,Agentic AI Unleashed: Join the AWS & NVIDIA Hackathon,https://nvidia-aws.devpost.com/,2025-10-15 19:39:20+0000,"Build the next generation of intelligent, autonomous applications. This isn't just a hackathon—it's your chance to unleash the power of agentic AI and show..."
NVIDIA Technical Blog,"Unlock Faster, Smarter Edge Models with 7x Gen AI Performance on NVIDIA Jetson AGX Thor",https://developer.nvidia.com/blog/unlock-faster-smarter-edge-models-with-7x-gen-ai-performance-on-nvidia-jetson-agx-thor,2025-10-15 18:25:01+0000,"A defining strength of the NVIDIA software ecosystem is its commitment to continuous optimization. In August, NVIDIA Jetson AGX Thor launched, with up to a 5x..."
